Code,Metro,Class,Population,2010 males,2010 Males pct,2010 females,2010 female pct,2010 Sex ratio1,2010 Total population,2000 males,2000 male pct,2000 female pct,2000 female pct,2000 Sex ratio1,2010 median age,2010 Under 18 years,2010 18 to 24 years,2010 25 to 34 years,010 35 to 44 years,2010 45 to 54 years,55 to 64 years,2010 65 to 74 years,2010 75 years and over,2010 Median,2000 Under 18 years,2000 18 to 24 years,2000 25 to 34 years,2000 35 to 44 years,2000 45 to 54 years,2000 55 to 64 years,2000 65 to 74 years,2000 75 years and over
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,192541.00,92678.00,48.10,99863.00,51.90,92.81,166079.00,81235.00,48.90,84844.00,51.10,95.70,29.90,40155.00,41172.00,27602.00,22586.00,22631.00,18997.00,11185.00,8213.00,28.70,36061.00,36684.00,25190.00,22200.00,19122.00,11983.00,7915.00,6924.00
12060,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,5268860.00,2563887.00,48.70,2704973.00,51.30,94.78,4247981.00,2096763.00,49.40,2151218.00,50.60,97.50,34.90,1396352.00,484034.00,761385.00,830827.00,773169.00,551340.00,283155.00,188598.00,33.00,1131056.00,402820.00,744209.00,754399.00,572609.00,316232.00,183617.00,143039.00
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,274549.00,133175.00,48.50,141374.00,51.50,94.20,252552.00,122074.00,48.30,130478.00,51.70,93.60,39.90,63888.00,25489.00,31243.00,36306.00,44620.00,34101.00,21088.00,17814.00,37.00,63855.00,20367.00,33626.00,43706.00,33872.00,22689.00,18232.00,16205.00
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,140247.00,69126.00,49.30,71121.00,50.70,97.19,115092.00,56630.00,49.20,58462.00,50.80,96.90,29.50,31591.00,28819.00,19347.00,17261.00,17146.00,13367.00,7527.00,5189.00,27.50,26802.00,26133.00,16645.00,15672.00,12679.00,7824.00,5321.00,4016.00
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,556877.00,270897.00,48.60,285980.00,51.40,94.73,499684.00,242287.00,48.50,257397.00,51.50,94.10,36.70,137997.00,56050.00,73440.00,70000.00,81787.00,68309.00,40026.00,29268.00,34.50,136187.00,49139.00,68186.00,80355.00,68507.00,42635.00,30729.00,23946.00
12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,1716289.00,860101.00,50.10,856188.00,49.90,100.46,1249763.00,635067.00,50.80,614696.00,49.20,103.30,32.60,434760.00,199979.00,290552.00,259891.00,227554.00,164817.00,81072.00,57664.00,30.90,317022.00,167003.00,228717.00,212146.00,155896.00,78335.00,49468.00,41176.00
12540,"Bakersfield-Delano, CA",Metropolitan Statistical Area,839631.00,433108.00,51.60,406523.00,48.40,106.54,661645.00,339382.00,51.30,322263.00,48.70,105.30,30.70,254081.00,93803.00,122046.00,108500.00,108479.00,77285.00,43502.00,31935.00,30.60,211379.00,67566.00,93251.00,103676.00,76557.00,47162.00,34287.00,27767.00
12580,"Baltimore-Towson, MD",Metropolitan Statistical Area,2710489.00,1304960.00,48.10,1405529.00,51.90,92.84,2552994.00,1228231.00,48.10,1324763.00,51.90,92.70,38.10,623056.00,267092.00,362245.00,362510.00,423553.00,329522.00,183047.00,159464.00,36.30,646004.00,218473.00,354647.00,438027.00,362570.00,226075.00,162934.00,144264.00
12620,"Bangor, ME",Metropolitan Statistical Area,153923.00,75853.00,49.30,78070.00,50.70,97.16,144919.00,70715.00,48.80,74204.00,51.20,95.30,39.90,30355.00,20322.00,17631.00,18907.00,24159.00,20296.00,11696.00,10557.00,37.20,33100.00,16318.00,18177.00,23851.00,21173.00,13380.00,10481.00,8439.00
12700,"Barnstable Town, MA",Metropolitan Statistical Area,215888.00,102854.00,47.60,113034.00,52.40,90.99,222230.00,105199.00,47.30,117031.00,52.70,89.90,49.90,37249.00,14097.00,17756.00,22902.00,34363.00,35642.00,26779.00,27100.00,44.60,45440.00,11638.00,21595.00,33982.00,32802.00,25508.00,26357.00,24908.00
12940,"Baton Rouge, LA",Metropolitan Statistical Area,802484.00,394256.00,49.10,408228.00,50.90,96.58,705973.00,345722.00,49.00,360251.00,51.00,96.00,34.20,198327.00,93781.00,117225.00,102485.00,112755.00,91759.00,49635.00,36517.00,32.50,190797.00,87106.00,100076.00,110744.00,93352.00,55756.00,37746.00,30396.00
12980,"Battle Creek, MI",Metropolitan Statistical Area,136146.00,66519.00,48.90,69627.00,51.10,95.54,137985.00,67098.00,48.60,70887.00,51.40,94.70,39.20,33009.00,12627.00,15703.00,16934.00,20156.00,17608.00,10365.00,9744.00,36.40,35854.00,12311.00,17878.00,21121.00,19321.00,12643.00,9948.00,8909.00
13020,"Bay City, MI",Metropolitan Statistical Area,107771.00,52751.00,48.90,55020.00,51.10,95.88,110157.00,53517.00,48.60,56640.00,51.40,94.50,41.70,23952.00,9149.00,12294.00,13098.00,16829.00,14942.00,9169.00,8338.00,38.40,26946.00,9154.00,13513.00,17541.00,16052.00,10781.00,8048.00,8122.00
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,388745.00,196596.00,50.60,192149.00,49.40,102.31,385090.00,192015.00,49.90,193075.00,50.10,99.50,36.90,95015.00,38439.00,52171.00,48982.00,57903.00,45378.00,26737.00,24120.00,35.60,101865.00,36795.00,50609.00,60786.00,50840.00,33286.00,27532.00,23377.00
13380,"Bellingham, WA",Metropolitan Statistical Area,201140.00,99635.00,49.50,101505.00,50.50,98.16,166814.00,82188.00,49.30,84626.00,50.70,97.10,36.60,42205.00,28638.00,26169.00,23995.00,27329.00,26164.00,14668.00,11972.00,34.00,40247.00,23704.00,21429.00,24418.00,24018.00,13598.00,9833.00,9567.00
