CBSA,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
47920,"Washington Court House, OH Micro Area",29030,29030,29017,28898,28837,28743,28690,28679
47980,"Watertown, SD Micro Area",27227,27227,27222,27406,27598,27848,27960,27939
48020,"Watertown-Fort Atkinson, WI Micro Area",83686,83681,83685,83876,84373,84547,84372,84559
48100,"Wauchula, FL Micro Area",27731,27731,27738,27645,27391,27362,27441,27502
48180,"Waycross, GA Micro Area",55070,55064,55181,54920,54670,54704,54516,54473
48220,"Weatherford, OK Micro Area",27469,27469,27489,27727,28525,29306,29587,29744
48460,"West Plains, MO Micro Area",40400,40400,40569,40601,40575,40220,40116,40117
48580,"Whitewater-Elkhorn, WI Micro Area",102228,102228,102188,102798,103055,103041,103499,102804
48780,"Williston, ND Micro Area",22398,22398,22587,24401,26710,29561,32129,35294
48820,"Willmar, MN Micro Area",42239,42239,42247,42263,42439,42512,42465,42542
48940,"Wilmington, OH Micro Area",42040,42037,41903,41915,41844,41902,41880,41917
48980,"Wilson, NC Micro Area",81234,81234,81246,81430,81759,81607,81394,81714
49080,"Winnemucca, NV Micro Area",16528,16525,16592,16651,17090,17347,17228,17019
49100,"Winona, MN Micro Area",51461,51461,51419,51370,51362,51341,51107,50885
49220,"Wisconsin Rapids-Marshfield, WI Micro Area",74749,74749,74807,74647,74384,73996,73597,73435
49260,"Woodward, OK Micro Area",20081,20081,19977,20078,20624,21184,21485,21559
49300,"Wooster, OH Micro Area",114520,114514,114439,114667,115063,115319,115742,116063
49380,"Worthington, MN Micro Area",21378,21378,21398,21582,21687,21744,21653,21770
49460,"Yankton, SD Micro Area",22438,22438,22453,22506,22595,22680,22695,22702
49780,"Zanesville, OH Micro Area",86074,86074,86207,86228,85873,85742,85946,86290
49820,"Zapata, TX Micro Area",14018,14018,14075,14210,14250,14373,14333,14374
72,Puerto Rico,3725789,3726157,3721526,3678736,3634487,3593079,3534888,3474182
72,In metropolitan statistical area,3567524,3567892,3563235,3521532,3478556,3438118,3381761,3323005
10380,"Aguadilla-Isabela, PR Metro Area",339441,339465,338928,335076,330733,326653,321462,315685
11640,"Arecibo, PR Metro Area",199471,199471,199269,197335,195454,193993,191138,188295
25020,"Guayama, PR Metro Area",84214,84214,84095,82842,82067,81489,80310,79086
32420,"Mayagüez, PR Metro Area",106330,106330,106043,104215,102312,100533,98266,95988
38660,"Ponce, PR Metro Area",350480,350480,349503,343566,337366,331632,324707,317185
41900,"San Germán, PR Metro Area",137462,137626,137547,136333,135107,133864,132140,130228
41980,"San Juan-Carolina-Caguas, PR Metro Area",2350126,2350306,2347850,2322165,2295517,2269954,2233738,2196538
72,In micropolitan statistical area,130989,130989,131021,130274,129267,128548,127137,125637
10260,"Adjuntas, PR Micro Area",19483,19483,19472,19295,19116,19022,18799,18579
17620,"Coamo, PR Micro Area",40512,40512,40578,40567,40463,40405,40167,39862
17640,"Coco, PR Micro Area",31078,31078,31043,30797,30445,30207,29772,29351
27580,"Jayuya, PR Micro Area",16642,16642,16639,16416,16156,15913,15639,15328
42180,"Santa Isabel, PR Micro Area",23274,23274,23289,23199,23087,23001,22760,22517
