CBSA,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
31220,"Ludington, MI Micro Area",28705,28705,28730,28651,28677,28659,28786,28783
31260,"Lufkin, TX Micro Area",86771,86771,86917,87325,87623,87661,87875,88255
31300,"Lumberton, NC Micro Area",134168,134168,134381,135029,135362,135033,134732,134197
31380,"Macomb, IL Micro Area",32612,32612,32607,32478,32500,32142,31591,31333
31500,"Madison, IN Micro Area",32428,32428,32423,32302,32518,32501,32529,32416
31580,"Madisonville, KY Micro Area",46920,46920,46863,46870,46679,46517,46304,46222
31620,"Magnolia, AR Micro Area",24552,24552,24747,24685,24427,24305,24102,24114
31660,"Malone, NY Micro Area",51599,51606,51628,51572,51787,51249,51133,50660
31680,"Malvern, AR Micro Area",32923,32923,33128,33033,33373,33413,33333,33426
31820,"Manitowoc, WI Micro Area",81442,81442,81302,81166,80847,80624,80161,79806
31930,"Marietta, OH Micro Area",61778,61778,61708,61560,61509,61403,61172,61112
31940,"Marinette, WI-MI Micro Area",65778,65778,65660,65354,65204,65192,64837,64432
31980,"Marion, IN Micro Area",70061,70063,69935,69609,69228,69031,68631,67979
32000,"Marion, NC Micro Area",44996,44996,45071,44957,44969,44936,44954,44989
32020,"Marion, OH Micro Area",66501,66501,66452,66543,66236,65908,65674,65355
32100,"Marquette, MI Micro Area",67077,67077,67110,67452,67813,67757,67675,67215
32140,"Marshall, MN Micro Area",25857,25857,25859,25795,25723,25593,25713,25673
32180,"Marshall, MO Micro Area",23370,23370,23403,23330,23472,23249,23360,23258
32220,"Marshall, TX Micro Area",65631,65629,65704,66352,66300,66214,66471,66746
32260,"Marshalltown, IA Micro Area",40648,40648,40694,40993,41092,41085,40896,40746
32280,"Martin, TN Micro Area",35021,35021,35031,34912,34780,34283,34142,33960
32300,"Martinsville, VA Micro Area",67972,67964,67845,67040,66537,66214,65705,65526
32340,"Maryville, MO Micro Area",23370,23370,23377,23431,23375,23225,23090,22810
32380,"Mason City, IA Micro Area",51749,51749,51697,51552,51237,51028,50819,50586
32460,"Mayfield, KY Micro Area",37121,37121,37222,37518,37534,37384,37654,37421
32500,"Maysville, KY Micro Area",17490,17490,17499,17534,17447,17282,17120,17099
32540,"McAlester, OK Micro Area",45837,45837,45762,45628,45107,44842,44619,44610
32620,"McComb, MS Micro Area",53535,53535,53551,53581,53047,52848,52573,52530
32660,"McMinnville, TN Micro Area",39839,39840,39864,39899,39775,39930,40038,40435
32700,"McPherson, KS Micro Area",29180,29180,29141,29216,29353,29590,29161,28941
32740,"Meadville, PA Micro Area",88765,88765,88690,88105,87668,87401,87057,86484
32860,"Menomonie, WI Micro Area",43857,43857,43883,43880,43934,44186,44300,44497
32940,"Meridian, MS Micro Area",107449,107454,107576,107531,107139,106966,105895,104499
32980,"Merrill, WI Micro Area",28743,28743,28763,28455,28485,28358,28152,27980
33020,"Mexico, MO Micro Area",25529,25529,25460,25604,25626,25654,25935,26096
33060,"Miami, OK Micro Area",31848,31848,31840,31901,32219,32241,32083,31981
33180,"Middlesborough, KY Micro Area",28691,28691,28710,28634,28154,27912,27713,27337
33300,"Milledgeville, GA Micro Area",55149,55237,55122,54475,55500,55051,54341,54010
33420,"Mineral Wells, TX Micro Area",28111,28111,28060,28084,27820,27832,27976,27895
33500,"Minot, ND Micro Area",69540,69540,69986,72321,73865,76501,78069,79814
33580,"Mitchell, SD Micro Area",22835,22835,22839,22980,23166,23214,23260,23243
33620,"Moberly, MO Micro Area",25414,25414,25441,25259,25309,24938,25065,25104
33940,"Montrose, CO Micro Area",41276,41278,41194,40905,40705,40685,40832,40946
33980,"Morehead City, NC Micro Area",66469,66469,66697,67356,67729,68447,68730,68879
34020,"Morgan City, LA Micro Area",54650,54650,54541,54123,53530,53517,53223,52810
34140,"Moscow, ID Micro Area",37244,37244,37278,37887,38179,38267,38585,38778
34180,"Moses Lake, WA Micro Area",89120,89120,89627,90756,91589,91906,92838,93259
34220,"Moultrie, GA Micro Area",45498,45498,45641,45811,46107,46307,46051,45844
34260,"Mountain Home, AR Micro Area",41513,41513,41538,41273,41066,40965,40842,41053
34300,"Mountain Home, ID Micro Area",27038,27038,27118,26217,26272,26248,26262,25876
34340,"Mount Airy, NC Micro Area",73673,73673,73693,73608,73524,72993,72980,72743
34380,"Mount Pleasant, MI Micro Area",70311,70311,70312,70656,70631,70542,70820,70698
34420,"Mount Pleasant, TX Micro Area",32334,32334,32401,32434,32631,32590,32487,32623
34460,"Mount Sterling, KY Micro Area",44396,44396,44522,44866,44986,45566,45834,46194
34500,"Mount Vernon, IL Micro Area",38827,38825,38763,38764,38668,38659,38446,38353
34540,"Mount Vernon, OH Micro Area",60921,60930,61086,61307,60805,60834,61013,61061
34660,"Murray, KY Micro Area",37191,37191,37365,37676,38034,38258,38221,38343
34700,"Muscatine, IA Micro Area",42745,42749,42735,42777,42900,42939,42939,43011
34780,"Muskogee, OK Micro Area",70990,70988,71101,70726,70536,70245,69913,69699
34860,"Nacogdoches, TX Micro Area",64524,64524,64667,65652,65863,65198,65271,65664
35020,"Natchez, MS-LA Micro Area",53119,53119,53391,53233,52610,52570,52333,51396
35060,"Natchitoches, LA Micro Area",39566,39566,39526,39538,39476,39213,39242,39179
35140,"Newberry, SC Micro Area",37508,37508,37580,37518,37580,37535,37807,38012
35220,"New Castle, IN Micro Area",49462,49462,49488,49360,49262,49051,49072,48985
35260,"New Castle, PA Micro Area",91108,91140,90973,90326,89736,89150,88514,88082
35420,"New Philadelphia-Dover, OH Micro Area",92582,92582,92555,92518,92501,92778,92774,92916
35440,"Newport, OR Micro Area",46034,46032,45990,45854,46166,46291,46386,47038
35460,"Newport, TN Micro Area",35662,35662,35660,35385,35463,35309,35285,35162
35500,"Newton, IA Micro Area",36842,36842,36816,36638,36552,36747,36866,36827
35580,"New Ulm, MN Micro Area",25893,25893,25856,25663,25408,25280,25290,25313
35700,"Nogales, AZ Micro Area",47420,47420,47410,47657,47464,47120,46661,46461
35740,"Norfolk, NE Micro Area",48271,48271,48323,48377,48387,48484,48446,48184
35820,"North Platte, NE Micro Area",37590,37590,37569,37368,37285,37324,36976,36908
35860,"North Vernon, IN Micro Area",28525,28525,28475,28204,28189,28281,27996,27897
35900,"North Wilkesboro, NC Micro Area",69340,69340,69231,69195,69225,69007,68802,68502
35940,"Norwalk, OH Micro Area",59626,59626,59578,59408,59262,58860,58685,58469
36020,"Oak Harbor, WA Micro Area",78506,78506,78712,78992,79252,78575,79235,80593
36300,"Ogdensburg-Massena, NY Micro Area",111944,111941,111822,112477,112595,112222,111753,111007
36340,"Oil City, PA Micro Area",54984,54983,54964,54724,54250,53933,53503,53119
36380,"Okeechobee, FL Micro Area",39996,39996,40027,39424,39260,39006,39114,39469
36460,"Olean, NY Micro Area",80317,80354,80260,79851,79383,79016,78638,77922
36580,"Oneonta, NY Micro Area",62259,62249,62203,61985,61826,61599,60948,60636
36620,"Ontario, OR-ID Micro Area",53936,53935,53985,53338,53281,53187,53169,53276
36660,"Opelousas, LA Micro Area",83384,83384,83492,83419,83476,83517,83803,83848
36700,"Orangeburg, SC Micro Area",92501,92495,92291,91721,91401,90619,89924,89208
36820,"Oskaloosa, IA Micro Area",22381,22381,22401,22506,22411,22395,22342,22324
36830,"Othello, WA Micro Area",18728,18728,18810,18883,18962,19114,19194,19254
36840,"Ottawa, KS Micro Area",25992,25996,26011,25891,25874,25778,25614,25609
36860,"Ottawa-Peru, IL Micro Area",154908,154906,154755,154306,153357,152651,151702,150564
36900,"Ottumwa, IA Micro Area",44378,44378,44416,44189,44045,44120,43992,43942
36940,"Owatonna, MN Micro Area",36576,36576,36507,36554,36302,36402,36600,36755
37020,"Owosso, MI Micro Area",70648,70648,70602,69946,69269,68842,68889,68619
37060,"Oxford, MS Micro Area",47351,47359,47561,48417,50377,51676,52220,53154
37080,"Oxford, NC Micro Area",59916,57532,57652,57673,57782,58061,58357,58674
37120,"Ozark, AL Micro Area",50251,50251,50358,50109,50324,49833,49501,49565
37140,"Paducah, KY-IL Micro Area",98762,98760,98733,98886,98502,97924,97744,97312
37220,"Pahrump, NV Micro Area",43946,43945,43856,43315,42899,42229,42203,42477
37260,"Palatka, FL Micro Area",74364,74364,74238,73912,73065,72442,72040,72023
37300,"Palestine, TX Micro Area",58458,58458,58485,58355,58010,57889,57742,57580
37420,"Pampa, TX Micro Area",22535,22535,22459,22575,22818,22895,23419,23210
37500,"Paragould, AR Micro Area",42090,42090,42188,42733,43168,43082,43729,44196
37540,"Paris, TN Micro Area",32330,32330,32381,32359,32353,32224,32261,32147
37580,"Paris, TX Micro Area",49793,49789,49812,49940,49770,49223,49457,49440
37660,"Parsons, KS Micro Area",21607,21607,21542,21424,21209,20927,20876,20803
37740,"Payson, AZ Micro Area",53597,53597,53544,53473,53031,53025,53139,53159
37780,"Pecos, TX Micro Area",13783,13783,13816,13774,13911,14089,14391,14732
37940,"Peru, IN Micro Area",36903,36903,36797,36587,36499,36124,35983,35862
38100,"Picayune, MS Micro Area",55834,55747,55724,55470,55088,54932,55298,55191
38180,"Pierre, SD Micro Area",21361,21361,21415,21644,21840,21855,22008,21935
38240,"Pinehurst-Southern Pines, NC Micro Area",88247,88247,88607,89384,90347,91564,93066,94352
38260,"Pittsburg, KS Micro Area",39134,39134,39177,39200,39385,39343,39374,39217
38380,"Plainview, TX Micro Area",36273,36273,36346,36426,36329,35802,34602,34360
38420,"Platteville, WI Micro Area",51208,51208,51203,51242,51003,51120,51824,52250
38460,"Plattsburgh, NY Micro Area",82128,82131,82068,81851,81863,81757,81702,81251
38500,"Plymouth, IN Micro Area",47051,47047,47009,46960,46992,46986,47013,46857
38580,"Point Pleasant, WV-OH Micro Area",58258,58260,58436,58318,58065,57720,57426,57179
38620,"Ponca City, OK Micro Area",46562,46562,46428,45816,45691,45552,45510,45366
38700,"Pontiac, IL Micro Area",38950,38950,38871,38839,38522,37412,37000,36671
38740,"Poplar Bluff, MO Micro Area",42794,42794,42796,42989,42997,42932,42887,42951
38780,"Portales, NM Micro Area",19846,19846,20014,20456,20340,19997,19626,19120
38820,"Port Angeles, WA Micro Area",71404,71404,71533,71778,71829,72222,72668,73486
38840,"Port Clinton, OH Micro Area",41428,41434,41392,41414,41339,41106,41072,40877
38920,"Port Lavaca, TX Micro Area",21381,21381,21327,21349,21559,21734,21791,21895
39020,"Portsmouth, OH Micro Area",79499,79499,79528,79233,78605,78094,77326,76825
39060,"Pottsville, PA Micro Area",148289,148289,148213,147616,147297,146752,145546,144590
39220,"Price, UT Micro Area",21403,21403,21421,21334,21252,20951,20620,20479
39260,"Prineville, OR Micro Area",20978,20978,20899,20679,20651,20782,21039,21630
39420,"Pullman, WA Micro Area",44776,44776,44797,45083,46639,46849,46938,48177
39500,"Quincy, IL-MO Micro Area",77314,77314,77353,77450,77324,77128,77144,77220
